[INFO ] 2020-11-16 19:22:45.439 [main] Log - An account with account number, 12, was added
[INFO ] 2020-11-16 19:22:45.766 [main] Log - An account with account number, 6, was added
[INFO ] 2020-11-16 19:22:45.768 [main] Log - An account with account number, 7, was added
[INFO ] 2020-11-16 19:22:45.768 [main] Log - An account with account number, 9, was added
[INFO ] 2020-11-16 19:22:45.769 [main] Log - An account with account number, 11, was added
[INFO ] 2020-11-16 19:22:45.770 [main] Log - An account with account number, 12, was added
[INFO ] 2020-11-16 19:22:46.092 [main] Log - An account with account number, 6, was added
[INFO ] 2020-11-16 19:22:46.094 [main] Log - An account with account number, 7, was added
[INFO ] 2020-11-16 19:22:46.095 [main] Log - An account with account number, 9, was added
[INFO ] 2020-11-16 19:22:46.095 [main] Log - An account with account number, 11, was added
[INFO ] 2020-11-16 19:22:46.096 [main] Log - An account with account number, 12, was added
[INFO ] 2020-11-16 19:22:46.410 [main] Log - An account with account number, 6, was added
[INFO ] 2020-11-16 19:22:46.411 [main] Log - An account with account number, 7, was added
[INFO ] 2020-11-16 19:22:46.411 [main] Log - An account with account number, 9, was added
[INFO ] 2020-11-16 19:22:46.411 [main] Log - An account with account number, 11, was added
[INFO ] 2020-11-16 19:22:46.411 [main] Log - An account with account number, 12, was added
[INFO ] 2020-11-16 19:22:46.726 [main] Log - An account with account number, 6, was added
[INFO ] 2020-11-16 19:22:46.726 [main] Log - An account with account number, 7, was added
[INFO ] 2020-11-16 19:22:46.727 [main] Log - An account with account number, 9, was added
[INFO ] 2020-11-16 19:22:46.727 [main] Log - An account with account number, 11, was added
[INFO ] 2020-11-16 19:22:46.727 [main] Log - An account with account number, 12, was added
[INFO ] 2020-11-16 20:03:48.477 [main] Log - Customer, sukanya raj, was added
[INFO ] 2020-11-16 20:03:48.480 [main] Log - Customer, harry potter, was added
[INFO ] 2020-11-16 20:03:48.480 [main] Log - Customer, testing testing, was added
[INFO ] 2020-11-16 20:03:48.480 [main] Log - Customer, third test, was added
[INFO ] 2020-11-16 20:03:48.480 [main] Log - Customer, test four, was added
[INFO ] 2020-11-16 20:03:48.824 [main] Log - An account with account number, 6, was added
[INFO ] 2020-11-16 20:03:48.825 [main] Log - An account with account number, 7, was added
